Area Code,geometry,Latest Data,Local Authority,"Cases per 100,000"
E06000001,"POLYGON ((-1.240994465138213 54.72319389763696, -1.25186499193155 54.7196229898455, -1.270251766857805 54.72716868778101, -1.305520893631545 54.7175215633233, -1.301326680312149 54.70810104999374, -1.319329372918358 54.69135684695723, -1.344525983747912 54.69112091272189, -1.330945768339011 54.68213366184633, -1.34785151195242 54.66242092721441, -1.341254227615013 54.65021189864623, -1.380898316323628 54.64391706835566, -1.335060929000105 54.63132396805841, -1.328863638821661 54.64400160929389, -1.316364325364281 54.64523485245269, -1.299014272981725 54.62798188848677, -1.250706314260146 54.62531901588801, -1.200652299051464 54.62294420168289, -1.188249613938192 54.63260452844363, -1.17316596143816 54.63371539935117, -1.157637138266167 54.64820597801032, -1.175883356011254 54.65342034354721, -1.199106758174449 54.68058593941629, -1.188041882220181 54.6933616754681, -1.196255765494289 54.69858373408101, -1.173994594569902 54.6918215342633, -1.176169411700867 54.69768643739619, -1.240994465138213 54.72319389763696))",2021-02-21,Hartlepool,8747.3
E06000002,"POLYGON ((-1.200898443984003 54.57763973335165, -1.252189859368878 54.59062874120928, -1.261791421208523 54.56997094867021, -1.279347400757869 54.56513898553047, -1.281367702934005 54.56458269678252, -1.275939953913315 54.56031991272729, -1.270631524722544 54.55614967193674, -1.277783053299001 54.54662440640956, -1.282249395040615 54.51838044265156, -1.234865905646297 54.51031604544517, -1.146196949185052 54.50282161236346, -1.137368719193943 54.5149951327635, -1.159740020317954 54.51583650450426, -1.161319992576546 54.52497936257185, -1.199063102063514 54.54449723313166, -1.166662913235472 54.55405304518801, -1.190559541437474 54.57497023059413, -1.200898443984003 54.57763973335165))",2021-02-21,Middlesbrough,8206.1
E06000003,"POLYGON ((-1.197516267039731 54.58210954859027, -1.200898443984003 54.57763973335165, -1.190559541437474 54.57497023059413, -1.166662913235472 54.55405304518801, -1.199063102063514 54.54449723313166, -1.161319992576546 54.52497936257185, -1.159740020317954 54.51583650450426, -1.137368719193943 54.5149951327635, -1.146196949185052 54.50282161236346, -1.118380006587325 54.49819857058537, -1.094523849745696 54.50675983627993, -1.036851455092803 54.49404406052257, -1.003401053050766 54.50301210027983, -0.952951598811726 54.48803554900132, -0.880825023321814 54.49704686124609, -0.848530740694743 54.4879729376572, -0.848647297024731 54.53000382970764, -0.8269849249100329 54.5485751001643, -0.80041918962436 54.55101092628238, -0.794250934628727 54.55844294929819, -0.853433805366454 54.5717802775552, -0.898265057834884 54.57126559940253, -0.938173195432714 54.58895189824801, -0.9614834252604439 54.58491319151428, -1.00054364237584 54.59323848452706, -1.052579830622954 54.6164690030561, -1.112780723752066 54.62770893715674, -1.13743131842473 54.64759416963576, -1.135389315897068 54.6296951466783, -1.154331610809561 54.62770275237445, -1.150841155054087 54.61513576310306, -1.13228972511792 54.60857397027362, -1.151775992728984 54.61453130098749, -1.157533763168281 54.6054167308634, -1.146747327827504 54.59908191369837, -1.160189046737497 54.60450009505568, -1.197516267039731 54.58210954859027))",2021-02-21,Redcar and Cleveland,6360.9
E06000004,"POLYGON ((-1.197516267039731 54.58210954859027, -1.185579338017969 54.59140606051117, -1.159975018206349 54.6113285710455, -1.16796351841264 54.62933477157571, -1.172977684562595 54.6215416379341, -1.200652299051464 54.62294420168289, -1.250706314260146 54.62531901588801, -1.299014272981725 54.62798188848677, -1.316364325364281 54.64523485245269, -1.328863638821661 54.64400160929389, -1.335060929000105 54.63132396805841, -1.380898316323628 54.64391706835566, -1.412822806302223 54.61659168969355, -1.450913590364081 54.61051350157937, -1.438355488980216 54.59507961192607, -1.423327198508054 54.60312686614123, -1.40729171028139 54.59372841347802, -1.411346320420762 54.56481929739134, -1.446755616443522 54.55566835130504, -1.449607455541847 54.53296792047311, -1.421485464318125 54.51963760929434, -1.434905292226041 54.48749317191669, -1.432117772071513 54.47945456606354, -1.412786362209496 54.47719539920894, -1.407088800428803 54.49352963904091, -1.395050047769724 54.4856799730286, -1.381010550958486 54.49402893155906, -1.372561576359864 54.4723074618139, -1.364417137586223 54.46595240967375, -1.344915034504546 54.47240800925332, -1.343628961726204 54.46415541302332, -1.300337456325256 54.47584988432907, -1.280978513462305 54.49044311832412, -1.257403073710003 54.48732183002826, -1.25667466779605 54.5011079136759, -1.234865905646297 54.51031604544517, -1.282249395040615 54.51838044265156, -1.277783053299001 54.54662440640956, -1.270631524722544 54.55614967193674, -1.275939953913315 54.56031991272729, -1.281367702934005 54.56458269678252, -1.279347400757869 54.56513898553047, -1.261791421208523 54.56997094867021, -1.252189859368878 54.59062874120928, -1.200898443984003 54.57763973335165, -1.197516267039731 54.58210954859027))",2021-02-21,Stockton-on-Tees,7324.1
E06000005,"POLYGON ((-1.696926363552071 54.53600642970706, -1.657937165615158 54.53458892309138, -1.654675199375215 54.52465009705819, -1.633773781482662 54.52536437984806, -1.633329086426465 54.51411140327178, -1.611484727063961 54.52000078784364, -1.602637415685413 54.51058165222248, -1.581068537416205 54.51284565950597, -1.591880702568802 54.50430086145477, -1.579214853807345 54.50518768537762, -1.582980328252009 54.49710073370829, -1.555195209061306 54.48497819168405, -1.545672717817146 54.47123847676445, -1.519832810956933 54.47104701682776, -1.528836951023782 54.48481373861545, -1.514131918998936 54.48377509214108, -1.51134080604103 54.47501226165836, -1.491775482062567 54.48620049260848, -1.499052291734689 54.47567823123216, -1.475372754521273 54.47384517889645, -1.472052219473182 54.4555996013609, -1.456150009289092 54.45244925497499, -1.462791370127208 54.46139226240543, -1.45341385016248 54.4660154353839, -1.463798734254918 54.47355085335521, -1.459192587596018 54.49426802193145, -1.474557942581845 54.50071108451375, -1.458507836443794 54.50391888973581, -1.434905292226041 54.48749317191669, -1.421485464318125 54.51963760929434, -1.449607455541847 54.53296792047311, -1.446755616443522 54.55566835130504, -1.411346320420762 54.56481929739134, -1.40729171028139 54.59372841347802, -1.423327198508054 54.60312686614123, -1.438355488980216 54.59507961192607, -1.451705470777537 54.59082798076119, -1.4686882777349 54.60055892696194, -1.526764048296696 54.59645412217211, -1.55864448318351 54.59211684838466, -1.552824004091242 54.58234218689694, -1.576266274801231 54.58019848862559, -1.593409301842475 54.5950771640614, -1.584192809462538 54.61048604658212, -1.606218139000681 54.6034402424268, -1.606764119174316 54.61754036603733, -1.682422158796175 54.61777113345259, -1.679311695745119 54.58597332958155, -1.694027833375925 54.58689385047298, -1.708984406155183 54.57414168736511, -1.70928210885412 54.56317946221738, -1.691206712713642 54.55624462900649, -1.705274249614593 54.54917195670447, -1.696926363552071 54.53600642970706))",2021-02-21,Darlington,6317.2
E06000006,"MULTIPOLYGON (((-2.675188154330533 53.35445503006272, -2.699352406720888 53.35670986367602, -2.718997703276197 53.34483751883155, -2.754337087393845 53.34315942904082, -2.763391905441713 53.32767542973933, -2.752431975095482 53.31475962446305, -2.737889788913677 53.30665969023701, -2.723525328857416 53.313139616089, -2.70080120166389 53.3058072297047, -2.685151771035752 53.31545146209594, -2.641556938214457 53.30503479705966, -2.645061428030307 53.31013507214473, -2.624122747579368 53.30939819310316, -2.619934795743807 53.32032091163161, -2.609086515520691 53.31207121337871, -2.595223051702315 53.32245437116755, -2.619125396752011 53.33107064101633, -2.606606511591641 53.34299589098465, -2.63146774491781 53.34603352110326, -2.630621929799034 53.36404982017471, -2.675188154330533 53.35445503006272)), ((-2.745174638554047 53.40209564647699, -2.757654073524239 53.38073787011351, -2.77667109006624 53.38105871325865, -2.787301698904515 53.35629039547977, -2.818806932412268 53.34800070795472, -2.818779881915007 53.33977153405201, -2.832457294869522 53.33728943465758, -2.82666108251466 53.33165679136899, -2.788631361831669 53.32253961799523, -2.777690988036282 53.3292802782324, -2.784287829857739 53.33643097739665, -2.778220485365008 53.33262604355798, -2.759133590645528 53.34960739043169, -2.764491400109516 53.35528645293341, -2.73430922778042 53.34777456596129, -2.693378682461698 53.36181618818324, -2.690632799188617 53.38538821957363, -2.712803441459184 53.39062600836386, -2.715226789147725 53.39903489972754, -2.745174638554047 53.40209564647699)))",2021-02-21,Halton,8839.3
E06000007,"POLYGON ((-2.576742833170838 53.44605720838791, -2.585296044296351 53.43980721606084, -2.598684922924731 53.45041376776319, -2.59623052707265 53.44266629299699, -2.627462415294177 53.43441260240063, -2.639135934197391 53.44439102023168, -2.677170413813967 53.45278624643935, -2.682075637500688 53.43890140957775, -2.668513621888628 53.44090705179324, -2.675267725031026 53.43296530457086, -2.663554698397311 53.42871366030091, -2.676317212735591 53.38761936520066, -2.690632799188617 53.38538821957363, -2.693378682461698 53.36181618818324, -2.675188154330533 53.35445503006272, -2.630621929799034 53.36404982017471, -2.63146774491781 53.34603352110326, -2.606606511591641 53.34299589098465, -2.619125396752011 53.33107064101633, -2.595223051702315 53.32245437116755, -2.586289693844035 53.32939680517507, -2.561875078127811 53.3233428508857, -2.518392960547635 53.34239027543291, -2.521049608166547 53.3479004826802, -2.486878438823328 53.36790380044177, -2.439879994871193 53.36666264560979, -2.42658992510444 53.3874615169358, -2.478454397728953 53.39621856752718, -2.449378188302862 53.41589144427991, -2.489713821749605 53.46028229743805, -2.496334458882896 53.48092942195044, -2.552638544101471 53.46781340692054, -2.549075684650094 53.46148585374302, -2.570389947874006 53.45847550696281, -2.576742833170838 53.44605720838791))",2021-02-21,Warrington,7983.8
E06000008,"POLYGON ((-2.551298054308604 53.75638838868775, -2.561601608529944 53.74690135431646, -2.539792726379497 53.70219159342648, -2.515375406219305 53.69166879365591, -2.532344033928676 53.66490226532125, -2.511322929347965 53.62699496671721, -2.47919534002786 53.61703589001227, -2.459700043811054 53.62004269419846, -2.438724382840171 53.6460454486624, -2.42169643500597 53.62383557387397, -2.379132115529207 53.63087036434593, -2.370327889048228 53.63153433094521, -2.362746514515838 53.65540147423955, -2.371236194443877 53.66708065449301, -2.374424274653707 53.68725443424862, -2.398348278057473 53.69155986288122, -2.410989295781393 53.70513674150164, -2.433868600524467 53.71918169901933, -2.440067794999274 53.74941812043848, -2.451780244168931 53.75645436007417, -2.446317094151234 53.76658970105116, -2.465807713747631 53.78081340793637, -2.551298054308604 53.75638838868775))",2021-02-21,Blackburn with Darwen,11298.9
E06000009,"POLYGON ((-3.047735076570874 53.87571898470143, -3.057106396327397 53.77652354486838, -3.03282276979925 53.7808616734318, -3.028801304181841 53.77311677980343, -2.996478259939573 53.77450402546858, -3.003886805128742 53.79134228685044, -2.983357222761062 53.79380344534167, -2.995004248072092 53.81848872450353, -3.010652930056626 53.82619390071952, -3.019749893188505 53.86859957886852, -3.047735076570874 53.87571898470143))",2021-02-21,Blackpool,6279.1
E06000010,"POLYGON ((-0.331215339638069 53.73831282780851, -0.286639848236336 53.74254520974058, -0.250157330935867 53.73330982625878, -0.245133176730637 53.73655897245392, -0.247304680963925 53.7411713801422, -0.241403486910475 53.75490878052398, -0.254201119922905 53.76350066955989, -0.252324831097553 53.78132833326604, -0.278250259007925 53.78206018761254, -0.316134326202857 53.81327016728823, -0.353664037176623 53.80852456402383, -0.363752563134149 53.79954308408971, -0.359603756056413 53.79337967676928, -0.392219628895841 53.79113288148356, -0.388109704295119 53.7693453926635, -0.418203810999879 53.76063234512201, -0.422341662667568 53.75056106404616, -0.401939174774099 53.74998730069125, -0.422301309344807 53.73150429159245, -0.419208056089771 53.71958121408104, -0.331215339638069 53.73831282780851))",2021-02-21,"Kingston upon Hull, City of",6568.3
